VFclass	Virulence factors	Related genes	ma102(Prediction)	ma1265(Prediction)	P.aeruginosa PAO1	P.entomophila L48	P.fluorescens Pf-5	P.fluorescens Pf0-1	P.mendocina ymp	P.putida KT2440	P.putida W619	P.stutzeri A1501	P.syringae 1448A	P.syringae pv. syringae B728a
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0072	-	PFL_6076	-	Pmen_2311	-	-	-	-	Psyr_2627
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0072	-	PFL_6076	-	Pmen_2311	-	-	-	-	Psyr_2627
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0072	-	PFL_6076	-	Pmen_2311	-	-	-	-	Psyr_2627
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0072	-	PFL_6076	-	Pmen_2311	-	-	-	-	Psyr_2627
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0072	-	PFL_6076	-	Pmen_2311	-	-	-	-	Psyr_2627
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0072	-	PFL_6076	-	Pmen_2311	-	-	-	-	Psyr_2627
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0072	-	PFL_6076	-	Pmen_2311	-	-	-	-	Psyr_2627
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0072	-	PFL_6076	-	Pmen_2311	-	-	-	-	Psyr_2627
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	BMIEOKOB_03115; BMIEOKOB_03116	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0073	-	PFL_6077	-	Pmen_2312	-	-	-	-	Psyr_2628
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	BMIEOKOB_03115; BMIEOKOB_03116	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0076	-	PFL_6080	-	Pmen_2315	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	BMIEOKOB_03115; BMIEOKOB_03116	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0078	-	PFL_6082	-	Pmen_2317	-	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	BMIEOKOB_03115; BMIEOKOB_03116	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0079	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	PSPPH_0127	Psyr_4960
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	BMIEOKOB_03115; BMIEOKOB_03116	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
Secretion system	Hcp secretion island-1 encoded type VI secretion system 	Undetermined	-	-	PA0080	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-
